키워드를 추가 할 광고그룹ID 와 신규 키워드를 입력하세요.,,,,
광고그룹ID는 '광고다운로드' 파일에서 확인할 수 있습니다. 입찰가는 쉼표나 '원' 표시를 제외한 숫자만 입력해 주세요.,,,,
입력은 최대 만(10000)개까지 가능합니다. (광고그룹 당 키워드는 1000개까지 등록가능합니다),,,,
그룹의 웹사이트URL이 1개인 경우라도 PC/모바일 URL에 동일하게 2번 입력해주시고 PC/모바일 웹사이트를 별도로 가지고 있는 경우에만 URL을 PC /모바일 구분해서 입력하세요. URL은 http:// 등으로 시작하는 형식이어야 합니다.,,,,
[중요] 7행부터 입력값이 시스템에 반영됩니다. 1~6행을 삭제하지 마세요. 엑셀에서 저장시 CSV 파일형식을 꼭 확인하시기 바랍니다.,,,,
광고그룹ID(필수),키워드(필수),PC URL(선택),모바일 URL(선택),"키워드입찰가(선택,숫자만)"
grp-a001-01-000000072062656,주차장방수시공,,,2000
grp-a001-01-000000072062656,주차장바닥방수,,,2000
grp-a001-01-000000072062656,주차장바닥방수공사,,,2000
grp-a001-01-000000072062656,주차장우레탄,,,1200
grp-a001-01-000000072062656,주차장우레탄방수,,,2000
grp-a001-01-000000072062656,주차장우레탄방수공사,,,2000
grp-a001-01-000000072062656,주차장에폭시공사,,,1200
grp-a001-01-000000072062656,주차장바닥공사,,,1500
grp-a001-01-000000072062656,주차장바닥코팅,,,1500
grp-a001-01-000000072062656,주차장바닥보수,,,1500
grp-a001-01-000000072062656,지하주차장방수,,,2000
grp-a001-01-000000072062656,지하주차장방수공사,,,2000
grp-a001-01-000000072062656,지하주차장바닥공사,,,1500
grp-a001-01-000000072062656,지하주차장에폭시,,,1200
grp-a001-01-000000072062656,지하주차장에폭시공사,,,1200
grp-a001-01-000000072062656,지하주차장도장,,,1200
grp-a001-01-000000072062656,에폭시바닥공사,,,1500
grp-a001-01-000000072062656,에폭시바닥업체,,,1500
grp-a001-01-000000072062656,에폭시바닥공사업체,,,1500
grp-a001-01-000000072062656,공장바닥에폭시,,,1500
grp-a001-01-000000072062656,공장바닥에폭시공사,,,1500
grp-a001-01-000000072062656,주차장도장,,,1200
grp-a001-01-000000072062656,주차장바닥도장,,,1500
grp-a001-01-000000072062656,에폭시도장,,,1200
grp-a001-01-000000072062656,주차장도장공사,,,1200
grp-a001-01-000000072062656,주차장도장업체,,,1200
grp-a001-01-000000072062656,옥상에폭시,,,1200
grp-a001-01-000000072062656,에폭시몰탈시공,,,1200
grp-a001-01-000000072062656,지하주차장바닥보수,,,1500
grp-a001-01-000000072062658,외벽방수,,,2500
grp-a001-01-000000072062658,외벽방수공사,,,2500
grp-a001-01-000000072062658,외벽방수업체,,,2000
grp-a001-01-000000072062658,외벽방수시공,,,2000
grp-a001-01-000000072062658,외벽방수전문,,,2000
grp-a001-01-000000072062658,공장외벽방수,,,2000
grp-a001-01-000000072062658,공장외벽방수공사,,,2000
grp-a001-01-000000072062658,상가외벽방수,,,2000
grp-a001-01-000000072062658,상가외벽방수공사,,,2000
grp-a001-01-000000072062658,빌딩외벽방수,,,2000
grp-a001-01-000000072062658,건물외벽방수,,,2000
grp-a001-01-000000072062658,외벽방수코팅,,,2000
grp-a001-01-000000072062658,외벽방수페인트,,,900
grp-a001-01-000000072062658,아파트외벽방수,,,2000
grp-a001-01-000000072062658,빌라외벽방수,,,2000
grp-a001-01-000000072062658,노후외벽방수,,,2000
grp-a001-01-000000072062662,주차장누수,,,1500
grp-a001-01-000000072062662,주차장누수공사,,,1500
grp-a001-01-000000072062662,누수방수공사,,,2000
grp-a001-01-000000072062662,누수방수업체,,,2000
grp-a001-01-000000072062662,누수공사,,,1500
grp-a001-01-000000072062662,누수공사업체,,,1500
grp-a001-01-000000072062662,누수수리,,,1500
grp-a001-01-000000072062662,누수수리업체,,,1500
grp-a001-01-000000072062662,건물누수업체,,,1500
grp-a001-01-000000072062662,건물누수수리,,,1500
grp-a001-01-000000072062662,옥상누수업체,,,1500
grp-a001-01-000000072062662,옥상누수수리,,,1500
grp-a001-01-000000072062662,옥상물샘,,,1200
grp-a001-01-000000072062662,옥상물샘수리,,,1200
grp-a001-01-000000072062662,천장누수공사,,,1500
grp-a001-01-000000072062662,천장누수수리,,,1500
grp-a001-01-000000072062662,외벽누수업체,,,1500
grp-a001-01-000000072062662,벽누수,,,1500
grp-a001-01-000000072062662,벽누수공사,,,1500
grp-a001-01-000000072062662,빗물누수공사,,,1500
grp-a001-01-000000072062662,비올때누수,,,1500
grp-a001-01-000000072062662,비오면누수,,,1500
grp-a001-01-000000072062662,누수하자보수,,,1500
grp-a001-01-000000072062662,누수하자,,,1500
grp-a001-01-000000072062662,방수누수보수,,,1500
grp-a001-01-000000072062662,누수방지공사,,,1500
grp-a001-01-000000072062662,누수보수공사,,,1500
grp-a001-01-000000072062662,옥상누수,,,1500
grp-a001-01-000000072062662,외벽누수,,,1500
grp-a001-01-000000072062662,옥상누수공사,,,1500
grp-a001-01-000000072062662,건물누수공사,,,1500
grp-a001-01-000000072062662,외벽누수공사,,,1500
grp-a001-01-000000072062662,상가옥상누수,,,1500
grp-a001-01-000000072062662,공장옥상누수,,,1500
grp-a001-01-000000072062662,빌라옥상누수,,,1500
grp-a001-01-000000072062662,상가천장누수,,,1500
grp-a001-01-000000072062662,공장지붕누수,,,1500
grp-a001-01-000000072062662,빗물누수방수공사,,,2000
grp-a001-01-000000072062662,공장누수,,,1500
grp-a001-01-000000072062662,공장누수공사,,,1500
grp-a001-01-000000072062662,공장누수수리,,,1500
grp-a001-01-000000072062662,상가누수,,,1500
grp-a001-01-000000072062662,상가누수공사,,,1500
grp-a001-01-000000072062662,빌딩누수,,,1500
grp-a001-01-000000072062662,누수,,,1500
grp-a001-01-000000072062662,누수탐지,,,1500
grp-a001-01-000000072062662,누수전문업체,,,1500
grp-a001-01-000000072062662,누수원인찾기,,,1500
grp-a001-01-000000072062662,배관누수,,,1500
grp-a001-01-000000072062662,배관누수공사,,,1500
grp-a001-01-000000072062662,창틀누수,,,1500
grp-a001-01-000000072062666,주차장균열보수,,,1500
grp-a001-01-000000072062666,옥상균열보수,,,1500
grp-a001-01-000000072062666,외벽균열보수,,,1500
grp-a001-01-000000072062666,건물균열보수,,,1500
grp-a001-01-000000072062666,외벽크랙보수,,,1500
grp-a001-01-000000072062666,건물하자보수,,,1500
grp-a001-01-000000072062666,콘크리트균열보수,,,1500
grp-a001-01-000000072062666,외벽크랙방수,,,2000
grp-a001-01-000000072062666,건물하자보수업체,,,1500
grp-a001-01-000000072062666,건물하자,,,1500
grp-a001-01-000000072062666,방수하자,,,1500
grp-a001-01-000000072062666,방수하자보수,,,1500
grp-a001-01-000000072062666,옥상하자,,,1500
grp-a001-01-000000072062666,옥상하자보수,,,1500
grp-a001-01-000000072062666,외벽하자,,,1500
grp-a001-01-000000072062666,외벽하자보수,,,1500
grp-a001-01-000000072062666,건물균열,,,1500
grp-a001-01-000000072062666,건물균열보수공사,,,1500
grp-a001-01-000000072062666,건물균열보수업체,,,1500
grp-a001-01-000000072062666,외벽균열,,,1500
grp-a001-01-000000072062666,외벽균열보수공사,,,1500
grp-a001-01-000000072062666,외벽균열보수업체,,,1500
grp-a001-01-000000072062666,콘크리트균열보수공사,,,1500
grp-a001-01-000000072062666,콘크리트크랙,,,1500
grp-a001-01-000000072062666,콘크리트크랙보수,,,1500
grp-a001-01-000000072062666,외벽크랙보수공사,,,1500
grp-a001-01-000000072062666,건물크랙,,,1500
grp-a001-01-000000072062666,건물크랙보수,,,1500
grp-a001-01-000000072062666,건물크랙보수공사,,,1500
grp-a001-01-000000072062666,옥상균열,,,1500
grp-a001-01-000000072062666,옥상크랙,,,1500
grp-a001-01-000000072062666,옥상크랙보수,,,1500
grp-a001-01-000000072062666,균열보수공사,,,1500
grp-a001-01-000000072062666,크랙보수공사,,,1500
grp-a001-01-000000072062666,균열보수업체,,,1500
grp-a001-01-000000072062666,크랙보수업체,,,1500
grp-a001-01-000000072062666,실리콘균열보수,,,1500
grp-a001-01-000000072062666,에폭시균열보수,,,1500
grp-a001-01-000000072062666,콘크리트균열보수업체,,,1500
grp-a001-01-000000072062668,건물도장,,,1200
grp-a001-01-000000072062668,외벽도장,,,1200
grp-a001-01-000000072062668,상가도장,,,1500
grp-a001-01-000000072062668,공장도장,,,1500
grp-a001-01-000000072062668,페인트공사,,,1200
grp-a001-01-000000072062668,건물페인트,,,1200
grp-a001-01-000000072062668,상가외벽도장,,,1500
grp-a001-01-000000072062668,공장외벽도장,,,1500
grp-a001-01-000000072062668,빌라외벽도장,,,1200
grp-a001-01-000000072062668,아파트외벽도장,,,1200
grp-a001-01-000000072062668,공장바닥도장,,,1500
grp-a001-01-000000072062668,옥상페인트칠,,,1200
grp-a001-01-000000072062668,외벽페인트칠,,,1200
grp-a001-01-000000072062668,우레탄도장,,,1200
grp-a001-01-000000072062668,특수도장,,,1200
grp-a001-01-000000072062668,도장업체,,,1200
grp-a001-01-000000072062668,도장공사업체,,,1200
grp-a001-01-000000072062668,건물도장공사,,,1200
grp-a001-01-000000072062668,건물도장업체,,,1200
grp-a001-01-000000072062668,외벽도장업체,,,1200
grp-a001-01-000000072062668,외벽페인트공사,,,1200
grp-a001-01-000000072062668,외벽페인트업체,,,1200
grp-a001-01-000000072062668,건물페인트공사,,,1200
grp-a001-01-000000072062668,건물페인트업체,,,1200
grp-a001-01-000000072062668,건물페인트칠,,,1200
grp-a001-01-000000072062668,페인트공사업체,,,1200
grp-a001-01-000000072062668,상가도장공사,,,1500
grp-a001-01-000000072062668,상가도장업체,,,1500
grp-a001-01-000000072062668,공장도장공사,,,1500
grp-a001-01-000000072062668,공장도장업체,,,1500
grp-a001-01-000000072062668,공장페인트공사,,,1500
grp-a001-01-000000072062668,공장외벽페인트,,,1500
grp-a001-01-000000072062668,건물외벽페인트,,,1200
grp-a001-01-000000072062668,상가외벽페인트,,,1500
grp-a001-01-000000072062668,공장건물도장,,,1500
grp-a001-01-000000072062668,공장외벽도장공사,,,1500
grp-a001-01-000000072062668,상가건물도장,,,1500
grp-a001-01-000000072062668,빌딩외벽도장,,,1200
grp-a001-01-000000072062668,도장,,,1200
grp-a001-01-000000072062668,도장전문업체,,,1200
grp-a001-01-000000072062668,외벽도장비용,,,1200
grp-a001-01-000000072062668,외벽도장단가,,,1200
grp-a001-01-000000072062668,아파트외벽도장공사,,,1200
grp-a001-01-000000072062668,철제도장,,,1200
grp-a001-01-000000072062668,지붕도장,,,1200
grp-a001-01-000000072062670,상가방수,,,1500
grp-a001-01-000000072062670,공장방수,,,1500
grp-a001-01-000000072062670,공장방수공사,,,2000
grp-a001-01-000000072062670,공장방수업체,,,2000
grp-a001-01-000000072062670,공장바닥코팅,,,1500
grp-a001-01-000000072062670,공장지붕방수,,,1500
grp-a001-01-000000072062670,공장건물방수,,,1500
grp-a001-01-000000072062670,상가건물방수,,,1500
grp-a001-01-000000072062670,창고방수공사,,,2000
grp-a001-01-000000072062670,공장창고방수,,,1500
grp-a001-01-000000072062670,상가지하방수,,,1500
grp-a001-01-000000072062670,공장지하방수,,,1500
grp-a001-01-000000072062671,옥상방수견적,,,2000
grp-a001-01-000000072062671,옥상방수공사견적,,,2000
grp-a001-01-000000072062671,옥상방수가격,,,2000
grp-a001-01-000000072062671,옥상방수비용,,,2000
grp-a001-01-000000072062671,우레탄방수견적,,,2000
grp-a001-01-000000072062671,우레탄방수공사견적,,,2000
grp-a001-01-000000072062671,우레탄방수가격,,,2000
grp-a001-01-000000072062671,우레탄방수비용,,,2000
grp-a001-01-000000072062671,방수공사견적,,,2000
grp-a001-01-000000072062671,방수견적,,,2500
grp-a001-01-000000072062671,방수공사가격,,,2000
grp-a001-01-000000072062671,방수비용,,,2500
grp-a001-01-000000072062671,방수가격,,,1200
grp-a001-01-000000072062671,건물방수견적,,,1200
